TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                     
AgenciaAcaoTkt                                                                                                                   idCb3                                                                                                                           
AgenciaAcaoTkt                                                                                                                   idCb4                                                                                                                           
AgenciaAcaoTkt                                                                                                                   idLanc                                                                                                                          
AgenciaAcaoTkt                                                                                                                   idLocal                                                                                                                         
AgenciaAcaoTkt                                                                                                                   idPgto                                                                                                                          
AgenciaAcaoTkt                                                                                                                   idUsuario                                                                                                                       
AgenciaAcaoTkt                                                                                                                   RefAnoMesFim                                                                                                                    
AgenciaAcaoTkt                                                                                                                   RefAnoMesIni                                                                                                                    
AgenciaAcaoTkt                                                                                                                   RespLanc                                                                                                                        
AtividadeRamo                                                                                                                    Atividade                                                                                                                       
AtividadeRamo                                                                                                                    DescrAtividde                                                                                                                   
AtividadeUsuario                                                                                                                 Atividade                                                                                                                       
AtividadeUsuario                                                                                                                 DescrComplementar                                                                                                               
AtividadeUsuario                                                                                                                 IdUsuario                                                                                                                       
AtividadeUsuario                                                                                                                 idUsuAtv                                                                                                                        
AtividadeUsuario                                                                                                                 PreDef                                                                                                                          
AtividadeUsuario                                                                                                                 SeqAtiv                                                                                                                         
Campanha                                                                                                                         CampanhaAno                                                                                                                     
Campanha                                                                                                                         CampanhaLocal                                                                                                                   
Campanha                                                                                                                         CampanhaNome                                                                                                                    
Campanha                                                                                                                         Descricao                                                                                                                       
Campanha                                                                                                                         finalizada                                                                                                                      
Campanha                                                                                                                         idCampanha                                                                                                                      
Campanha                                                                                                                         idUsuario                                                                                                                       
Campanha                                                                                                                         ImagemCampanha                                                                                                                  
Campanha                                                                                                                         qrresumido                                                                                                                      
Campanha                                                                                                                         regracampanha                                                                                                                   
Campanha                                                                                                                         Tipo                                                                                                                            
Campanha                                                                                                                         UrlResumido                                                                                                                     
CampanhaPontoItens                                                                                                               Acesso                                                                                                                          
CampanhaPontoItens                                                                                                               ativo                                                                                                                           
CampanhaPontoItens                                                                                                               id_encarteFatura                                                                                                                
CampanhaPontoItens                                                                                                               idCampanhaPontoAcesso                                                                                                           
CampanhaPontoItens                                                                                                               idCampanhaPontoItem                                                                                                             
CampanhaPontoItens                                                                                                               idUsuario                                                                                                                       
CampanhaPontoItens                                                                                                               imagem                                                                                                                          
CampanhaPontoItens                                                                                                               link_especial                                                                                                                   
CampanhaPontoItens                                                                                                               publFim                                                                                                                         
CampanhaPontoItens                                                                                                               publInicio                                                                                                                      
CampanhaPontoItens                                                                                                               qr_resumo                                                                                                                       
CampanhaPontoItens                                                                                                               telefone                                                                                                                        
Cardapio                                                                                                                         Ativo                                                                                                                           
Cardapio                                                                                                                         CardapioTp                                                                                                                      
Cardapio                                                                                                                         codSegmento                                                                                                                     
Cardapio                                                                                                                         DataFim                                                                                                                         
Cardapio                                                                                                                         DataIni                                                                                                                         
Cardapio                                                                                                                         DataPublic                                                                                                                      
